model,held_out_district,test_row_count,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,log_loss,multiclass_brier_score,mean_confidence,confidence_accuracy_gap,training_sector_count,best_parameters_json,best_inner_macro_f1,calibration_temperature,raw_accuracy,raw_balanced_accuracy,raw_macro_f1,raw_macro_precision,raw_macro_recall,raw_log_loss,raw_multiclass_brier_score,raw_mean_confidence,raw_confidence_accuracy_gap,candidate_calibrated_accuracy,candidate_calibrated_balanced_accuracy,candidate_calibrated_macro_f1,candidate_calibrated_macro_precision,candidate_calibrated_macro_recall,candidate_calibrated_log_loss,candidate_calibrated_multiclass_brier_score,candidate_calibrated_mean_confidence,candidate_calibrated_confidence_accuracy_gap,calibration_selected
random_forest,Gasabo,15,0.6666666666666666,0.5,0.45925925925925926,0.4621212121212121,0.5,0.7492580749947523,0.4461666998818249,0.6288191632545606,-0.037847503412106076,35,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.21126034459367793,4.9999960443467675,0.6666666666666666,0.5,0.45925925925925926,0.4621212121212121,0.5,0.7492580749947523,0.4461666998818249,0.6288191632545606,-0.037847503412106076,0.6666666666666666,0.5,0.45925925925925926,0.4621212121212121,0.5,0.9747029397038866,0.5835317568081719,0.39864225985140017,-0.26802440681526646,False
random_forest,Kicukiro,10,0.6,0.375,0.25,0.25,0.25,0.881996970217499,0.5523701580944723,0.6163138772846564,0.016313877284656386,40,"{""model__max_depth"": 6, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.4396399896399896,1.498472278812776,0.6,0.375,0.25,0.25,0.25,0.881996970217499,0.5523701580944723,0.6163138772846564,0.016313877284656386,0.6,0.375,0.25,0.25,0.25,0.8827442945094068,0.5493704541877193,0.5396424250790594,-0.060357574920940626,False
random_forest,Musanze,15,0.7333333333333333,0.5,0.29333333333333333,0.2619047619047619,0.3333333333333333,0.8809653283719291,0.4956591727564178,0.529136505503514,-0.2041968278298193,35,"{""model__max_depth"": 6, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5166468607645078,1.788111486877778,0.7333333333333333,0.5,0.29333333333333333,0.2619047619047619,0.3333333333333333,0.8809653283719291,0.4956591727564178,0.529136505503514,-0.2041968278298193,0.7333333333333333,0.5,0.29333333333333333,0.2619047619047619,0.3333333333333333,0.9527280565974504,0.5593030928570357,0.4419270157304382,-0.2914063176028951,False
random_forest,Nyarugenge,10,0.6,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,1.1319698311976336,0.6260084271011263,0.6485845621861743,0.04858456218617435,40,"{""model__max_depth"": 6, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.26739170702019,1.16223822149349,0.6,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,1.1319698311976336,0.6260084271011263,0.6485845621861743,0.04858456218617435,0.6,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,1.0821719302312829,0.613484569157107,0.6197823128718347,0.01978231287183474,False
catboost,Gasabo,15,0.6666666666666666,0.5,0.4563279857397504,0.4333333333333333,0.5,0.7145348929992019,0.41454895939713216,0.617818865246317,-0.04884780142034961,35,"{""model__depth"": 4, ""model__iterations"": 250, ""model__l2_leaf_reg"": 7.0, ""model__learning_rate"": 0.03}",0.0691358024691358,4.999994501275518,0.6666666666666666,0.5,0.4563279857397504,0.4333333333333333,0.5,0.7145348929992019,0.41454895939713216,0.617818865246317,-0.04884780142034961,0.6666666666666666,0.5,0.4563279857397504,0.4333333333333333,0.5,0.9784107052263945,0.5855706375857547,0.39305493696554666,-0.27361172970111997,False
catboost,Kicukiro,10,0.6,0.375,0.25,0.25,0.25,0.8780418372381987,0.5513992596732187,0.5439791166181568,-0.05602088338184319,40,"{""model__depth"": 4, ""model__iterations"": 200, ""model__l2_leaf_reg"": 9.0, ""model__learning_rate"": 0.05}",0.45089101167532536,1.5256007342067393,0.6,0.375,0.25,0.25,0.25,0.8780418372381987,0.5513992596732187,0.5439791166181568,-0.05602088338184319,0.6,0.375,0.25,0.25,0.25,0.910239376220731,0.560029400131898,0.48012508222760164,-0.11987491777239834,False
catboost,Musanze,15,0.06666666666666667,0.045454545454545456,0.05555555555555555,0.3333333333333333,0.030303030303030304,1.2795051732281455,0.791252172285165,0.424084382062911,0.35741771539624434,35,"{""model__depth"": 3, ""model__iterations"": 200, ""model__l2_leaf_reg"": 5.0, ""model__learning_rate"": 0.03}",0.36481481481481487,1.5159946157022712,0.06666666666666667,0.045454545454545456,0.05555555555555555,0.3333333333333333,0.030303030303030304,1.2795051732281455,0.791252172285165,0.424084382062911,0.35741771539624434,0.06666666666666667,0.045454545454545456,0.05555555555555555,0.3333333333333333,0.030303030303030304,1.2113262839318764,0.7439556626505348,0.3927569221638206,0.3260902554971539,False
catboost,Nyarugenge,10,0.5,0.5833333333333334,0.41269841269841273,0.3333333333333333,0.5833333333333334,1.1957670696159923,0.6624309451282755,0.592974726874259,0.092974726874259,40,"{""model__depth"": 3, ""model__iterations"": 200, ""model__l2_leaf_reg"": 5.0, ""model__learning_rate"": 0.03}",0.1806367771280052,2.415183147079013,0.5,0.5833333333333334,0.41269841269841273,0.3333333333333333,0.5833333333333334,1.1957670696159923,0.6624309451282755,0.592974726874259,0.092974726874259,0.5,0.5833333333333334,0.41269841269841273,0.3333333333333333,0.5833333333333334,1.0715675066618506,0.6371420871862455,0.45234513661296105,-0.04765486338703895,False
