sector_subunit_id,sector_subunit_index,sentinel__subunit_matched_row_count,sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,sentinel__elevation__subunit_mean,sentinel__elevation__subunit_std,sentinel__ndvi__subunit_mean,sentinel__ndvi__subunit_std,sentinel__ndbi__subunit_mean,sentinel__ndbi__subunit_std,sentinel__mndwi__subunit_mean,sentinel__mndwi__subunit_std,sentinel__slope__subunit_mean,sentinel__slope__subunit_std
RWA.1.4.1_1__sentinel_subunit_01,1,23,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2228.6679227053137,27.62556747197497,0.551276630253869,0.0653014822704623,-0.0720493827007362,0.0481023336358631,-0.5599317706922262,0.041945439629914,,
RWA.1.4.1_1__sentinel_subunit_02,2,22,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2207.3843939393937,14.643712410657704,0.4658460422339189,0.08546221394624,-0.029853341018126,0.0632187257233406,-0.5155616924815077,0.0461795677022657,,
RWA.1.4.1_1__sentinel_subunit_03,3,23,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2183.0759903381645,15.157834686515756,0.3666426287038782,0.1374852781256341,0.0273538584510811,0.08178207111273,-0.4703756621533461,0.0761822126847327,,
RWA.1.4.1_1__sentinel_subunit_04,4,22,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2178.920707070707,19.77857622948469,0.4616728882109771,0.1165286055750866,-0.0711129547223264,0.0923675256908394,-0.4774114237850103,0.051879756302477,,
RWA.1.4.1_1__sentinel_subunit_05,5,22,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2202.543282828283,55.28652126482378,0.5901622058912148,0.0923377248658529,-0.1558539266712733,0.0911427257620305,-0.5245529937007501,0.0321530229728347,,
RWA.1.4.1_1__sentinel_subunit_06,6,23,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2264.2995652173913,89.84497128236731,0.6197528851001387,0.0671055117743341,-0.2025147414474985,0.0703541788738139,-0.5159576835760046,0.0350496111556608,,
RWA.1.4.1_1__sentinel_subunit_07,7,22,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2310.187727272727,79.71044239978437,0.6237182490339176,0.1330355077391212,-0.2292081084983114,0.119054316126472,-0.5367512289973031,0.0671851882286329,,
RWA.1.4.1_1__sentinel_subunit_08,8,23,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2261.8297584541065,100.89583481571532,0.5717857942554033,0.1153117958427495,-0.1672921098485718,0.1155093257914611,-0.5349850123920795,0.0483888461166899,,
RWA.1.4.1_1__sentinel_subunit_09,9,22,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2181.2599494949495,90.75996043046788,0.5056059176247544,0.0948866134956477,-0.0974449664315478,0.084899319410709,-0.5237180988715255,0.0423161497024927,,
RWA.1.4.1_1__sentinel_subunit_10,10,22,RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,2139.749494949495,123.2034567739463,0.6153059631503914,0.139921502484392,-0.1885732793615988,0.1309350364013967,-0.5593272191821369,0.0679523000576211,,
