sector_id,sector_name,district,model_vulnerability_score,proxy_score,scenario,model_weight,indicator_weight,hybrid_score,hybrid_class,hybrid_rank,baseline_60_40_rank,rank_change_from_60_40,in_top_10
RWA.5.1.13_1,Remera,Gasabo,0.24095487498714802,0.2319237891238495,indicator_model_equal_50_50,0.5,0.5,0.23643933205549877,Low,38,38,0,False
RWA.5.2.4_1,Kagarama,Kicukiro,0.3114946594871306,0.1610311820554308,indicator_model_equal_50_50,0.5,0.5,0.2362629207712807,Low,39,36,-3,False
RWA.5.2.5_1,Kanombe,Kicukiro,0.2668802306814894,0.1703263244411434,indicator_model_equal_50_50,0.5,0.5,0.21860327756131642,Low,40,40,0,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,0.23990425643582888,0.1860084281468038,indicator_model_equal_50_50,0.5,0.5,0.21295634229131633,Low,41,41,0,False
RWA.5.1.7_1,Kacyiru,Gasabo,0.18602919295309006,0.2329120553974533,indicator_model_equal_50_50,0.5,0.5,0.20947062417527168,Low,42,42,0,False
RWA.5.1.11_1,Ndera,Gasabo,0.18272222117186745,0.2188736158788271,indicator_model_equal_50_50,0.5,0.5,0.20079791852534729,Low,43,43,0,False
RWA.5.2.9_1,Niboye,Kicukiro,0.184769848890699,0.2128357883315653,indicator_model_equal_50_50,0.5,0.5,0.19880281861113214,Low,44,44,0,False
RWA.5.1.8_1,Kimihurura,Gasabo,0.1950951342085419,0.194568267731122,indicator_model_equal_50_50,0.5,0.5,0.19483170096983196,Low,45,45,0,False
RWA.5.1.14_1,Rusororo,Gasabo,0.094012713007372,0.2768479057334599,indicator_model_equal_50_50,0.5,0.5,0.18543030937041596,Low,46,48,2,False
RWA.5.2.10_1,Nyarugunga,Kicukiro,0.19715773330872188,0.1715423609508977,indicator_model_equal_50_50,0.5,0.5,0.1843500471298098,Low,47,46,-1,False
RWA.5.1.9_1,Kimironko,Gasabo,0.1109567370569524,0.2356246404101854,indicator_model_equal_50_50,0.5,0.5,0.1732906887335689,Low,48,49,1,False
RWA.5.2.1_1,Gahanga,Kicukiro,0.18560052101552532,0.1503736702268057,indicator_model_equal_50_50,0.5,0.5,0.1679870956211655,Low,49,47,-2,False
RWA.5.1.10_1,Kinyinya,Gasabo,0.08075023923595501,0.2314513902420026,indicator_model_equal_50_50,0.5,0.5,0.1561008147389788,Low,50,50,0,False
RWA.1.4.4_1,Gashaki,Musanze,0.6850420824040536,0.5175642990632866,model_emphasis_70_indicator_30,0.7,0.3,0.6347987474018235,High,1,1,0,True
RWA.1.4.13_1,Remera,Musanze,0.6491756283840224,0.5231253843006046,model_emphasis_70_indicator_30,0.7,0.3,0.611360555158997,High,2,2,0,True
RWA.1.4.7_1,Kinigi,Musanze,0.6706597783028633,0.4414543629815136,model_emphasis_70_indicator_30,0.7,0.3,0.6018981537064583,High,3,4,1,True
RWA.1.4.14_1,Rwaza,Musanze,0.6275080272155636,0.5095302654508534,model_emphasis_70_indicator_30,0.7,0.3,0.5921146986861505,High,4,3,-1,True
RWA.1.4.12_1,Nyange,Musanze,0.6760679686390471,0.362824706885707,model_emphasis_70_indicator_30,0.7,0.3,0.582094990113045,High,5,7,2,True
RWA.1.4.15_1,Shingiro,Musanze,0.6278304433199862,0.4625705093806492,model_emphasis_70_indicator_30,0.7,0.3,0.578252463138185,High,6,5,-1,True
RWA.1.4.3_1,Gacaca,Musanze,0.6265100190268001,0.4629871386840336,model_emphasis_70_indicator_30,0.7,0.3,0.5774531549239701,High,7,6,-1,True
RWA.1.4.5_1,Gataraga,Musanze,0.6598558239412574,0.3836754690230567,model_emphasis_70_indicator_30,0.7,0.3,0.5770017174657971,High,8,8,0,True
RWA.1.4.11_1,Nkotsi,Musanze,0.6414313598418009,0.3880988555860776,model_emphasis_70_indicator_30,0.7,0.3,0.5654316085650839,High,9,9,0,True
RWA.1.4.9_1,Muko,Musanze,0.6113258219096974,0.3818568531108455,model_emphasis_70_indicator_30,0.7,0.3,0.5424851312700418,High,10,10,0,True
RWA.1.4.6_1,Kimonyi,Musanze,0.6621707803537019,0.2588449918700046,model_emphasis_70_indicator_30,0.7,0.3,0.5411730438085927,High,11,11,0,False
