ndvi_real,ndbi_real,mndwi_real,elevation_m_real,slope_degrees_real,settlement_id,flood_zone_overlap_real,building_density_per_ha_real,road_density_m_per_ha_real
0.5979080200195312,-0.18614181876182556,-0.46924659609794617,1825.37939453125,11.443490982055664,S050,0.0,0.23791168386788128,14.502174254394836
0.35370033979415894,0.034665342420339584,-0.49700745940208435,1656.7271728515625,10.224440574645996,S008,0.0,12.021398076528884,139.771061727368
0.46162909269332886,-0.05123891681432724,-0.45148399472236633,1494.9224853515625,6.969322681427002,S128,0.00125,6.493408032958203,164.14331183702882
0.44663742184638977,-0.10046390444040298,-0.4048536717891693,1484.107177734375,21.672149658203125,S057,0.0,0.9483544397727751,74.92380822043302
0.25373733043670654,0.08577823638916016,-0.4815671145915985,1600.8568115234375,10.123441696166992,S059,0.0004725897920604915,10.647503616955914,170.65026313012635
0.3922875225543976,-0.006299471948295832,-0.4907223880290985,1750.540771484375,13.42060375213623,S045,0.0,12.970465757923892,111.1810180162185
0.3160370886325836,0.005207882262766361,-0.43054085969924927,1532.12158203125,14.186195373535156,S063,0.0,14.467673842319552,143.14373289458678
0.5366417765617371,-0.15826882421970367,-0.43828749656677246,1464.35986328125,21.464824676513672,S029,0.0,6.662582189030365,27.93074418888327
0.5476381182670593,-0.1394653022289276,-0.4498516917228699,1513.60205078125,24.172399520874023,S056,0.0,0.0,55.06311187082041
0.47983449697494507,-0.05782370641827583,-0.4738701581954956,1415.11767578125,4.448060512542725,S023,0.0,1.7320594802276965,0.11719240226905545
0.25648078322410583,0.05699341744184494,-0.3984927833080292,1492.17138671875,3.1227705478668213,S169,0.0009876543209876543,9.601883015649662,181.2073177530282
0.3460518419742584,0.016075685620307922,-0.47372132539749146,1638.6376953125,11.107933044433594,S037,0.0,9.437645550646097,185.69814242242563
0.39331257343292236,-0.014450041577219963,-0.43824005126953125,1412.1756591796875,8.564810752868652,S009,0.0,3.6081949439996013,159.50406189451428
0.4006368815898895,-0.001125996932387352,-0.5068655610084534,1583.7744140625,13.523980140686035,S046,0.0,3.8260612952745046,85.63416377450238
0.22607173025608063,0.07835599780082703,-0.41642963886260986,1445.21240234375,8.855676651000977,S153,0.0,17.812383470740617,166.6343979313842
0.4115271270275116,-0.014660903252661228,-0.44399333000183105,1448.1102294921875,10.391087532043457,S167,0.0,8.097164762235362,98.41391689563292
0.12894687056541443,0.143739715218544,-0.41195547580718994,1483.4244384765625,9.901453971862793,S033,0.0,28.870496188986742,168.26722752350508
0.4445802867412567,-0.04505419358611107,-0.47814705967903137,1571.173583984375,8.995234489440918,S043,0.0,16.26741838417949,73.8081790823853
0.5485926270484924,-0.1707170009613037,-0.44637906551361084,1677.3748779296875,22.268329620361328,S036,0.0,16.459994715693693,6.9912800873112495
0.47513797879219055,-0.11551959812641144,-0.43993932008743286,1649.0379638671875,20.032855987548828,S051,0.0,21.22811385819321,17.406588718460203
0.5343796014785767,-0.08964919298887253,-0.5123991966247559,1727.886962890625,13.866591453552246,S055,0.0,6.225035357893487,40.80645102404401
0.23457485437393188,0.05492151156067848,-0.3960925340652466,1528.746337890625,19.06363296508789,S024,0.0,33.19395154575419,66.09460836465021
0.18197983503341675,0.11344590038061142,-0.4144022464752197,1477.1484375,9.085126876831055,S040,0.0,24.105628231442104,114.29484795377215
0.1329963356256485,0.12585218250751495,-0.3892187476158142,1408.119384765625,10.197242736816406,S030,0.0,36.56866831813828,183.13709086500748
0.3193477392196655,0.03869510442018509,-0.41734692454338074,1457.8138427734375,5.555001735687256,S041,0.0,4.436759128432732,189.07871905095575
0.2407759130001068,0.013918567448854446,-0.31517934799194336,1551.6834716796875,4.669139385223389,S014,0.01038781163434903,5.055985636807363,140.93412270728533
0.4149057865142822,0.0511193685233593,-0.5407088398933411,1379.1583251953125,10.62128734588623,S190,0.0,5.971125742609906,18.25895789581441
0.1256614774465561,0.10370396077632904,-0.3428255319595337,1386.0811767578125,6.576744079589844,S006,0.0,9.312129262099203,205.09022970810682
