sector_id,district,sector_name,proxy_class,proxy_score,scenario,scenario_score,scenario_class,class_changed_from_base
RWA.5.3.10_1,Nyarugenge,Rwezamenyo,High,0.401733325963714,density_heavy,0.4907290587502204,High,False
RWA.1.4.11_1,Musanze,Nkotsi,High,0.3880988555860776,density_heavy,0.26186045314104256,Medium,True
RWA.1.4.5_1,Musanze,Gataraga,High,0.38367546902305666,density_heavy,0.2561473435630028,Medium,True
RWA.1.4.9_1,Musanze,Muko,High,0.38185685311084544,density_heavy,0.26650997305062074,High,False
RWA.1.4.12_1,Musanze,Nyange,High,0.362824706885707,density_heavy,0.24150295616069936,Medium,True
RWA.5.3.7_1,Nyarugenge,Nyakabanda,High,0.35331795744542316,density_heavy,0.4181060059727841,High,False
RWA.1.4.10_1,Musanze,Musanze,High,0.34720882605716896,density_heavy,0.24406800292744546,Medium,True
RWA.5.3.2_1,Nyarugenge,Kanyinya,Medium,0.3272753144539934,density_heavy,0.23200487910570006,Medium,False
RWA.5.1.6_1,Gasabo,Jali,Medium,0.3183499249275169,density_heavy,0.22121598818661575,Medium,False
RWA.5.1.12_1,Gasabo,Nduba,Medium,0.3090924464295183,density_heavy,0.22017326970367274,Medium,False
RWA.5.1.4_1,Gasabo,Gisozi,Medium,0.30673800518964073,density_heavy,0.3348300358808025,High,True
RWA.1.4.2_1,Musanze,Cyuve,Medium,0.29039928120444325,density_heavy,0.20995168142575088,Low,True
RWA.5.1.5_1,Gasabo,Jabana,Medium,0.2882546292574699,density_heavy,0.2098934064193006,Low,True
RWA.5.3.5_1,Nyarugenge,Mageregere,Medium,0.2800841808447797,density_heavy,0.19540992623927508,Low,True
RWA.5.1.2_1,Gasabo,Gatsata,Medium,0.2784616817960349,density_heavy,0.2924155507903938,High,True
RWA.5.1.14_1,Gasabo,Rusororo,Medium,0.27684790573346,density_heavy,0.19264754825964348,Low,True
RWA.1.4.1_1,Musanze,Busogo,Medium,0.27358985724977486,density_heavy,0.19057665054914408,Low,True
RWA.5.3.6_1,Nyarugenge,Muhima,Medium,0.26420442470245686,density_heavy,0.28443570685833464,High,True
RWA.1.4.6_1,Musanze,Kimonyi,Medium,0.2588449918700046,density_heavy,0.17403317145712696,Low,True
RWA.5.2.7_1,Kicukiro,Kigarama,Medium,0.2555188662961997,density_heavy,0.27724736837050834,High,True
RWA.5.3.3_1,Nyarugenge,Kigali,Medium,0.2544570041276886,density_heavy,0.19239299190538411,Low,True
RWA.1.4.8_1,Musanze,Muhoza,Medium,0.24293189624608252,density_heavy,0.19794052796997783,Low,True
RWA.5.2.6_1,Kicukiro,Kicukiro,Medium,0.24175200705793115,density_heavy,0.2565970795131055,Medium,False
RWA.5.3.8_1,Nyarugenge,Nyamirambo,Low,0.24058792568919135,density_heavy,0.24901095833843637,Medium,True
RWA.5.1.9_1,Gasabo,Kimironko,Low,0.23562464041018544,density_heavy,0.22815998871161958,Medium,True
RWA.5.1.7_1,Gasabo,Kacyiru,Low,0.23291205539745338,density_heavy,0.2240911111925215,Medium,True
RWA.5.1.13_1,Gasabo,Remera,Low,0.2319237891238498,density_heavy,0.2226087117821161,Medium,True
RWA.5.1.10_1,Gasabo,Kinyinya,Low,0.23145139024200176,density_heavy,0.22190011345934407,Medium,True
RWA.5.2.3_1,Kicukiro,Gikondo,Low,0.22213889239132717,density_heavy,0.22717740751319956,Medium,True
RWA.5.1.11_1,Gasabo,Ndera,Low,0.2188736158788271,density_heavy,0.16225621472404783,Low,False
RWA.5.2.2_1,Kicukiro,Gatenga,Low,0.2156375855440712,density_heavy,0.2174254472423156,Medium,True
RWA.5.1.1_1,Gasabo,Bumbogo,Low,0.2149336613869247,density_heavy,0.1587279187985055,Low,False
RWA.5.2.9_1,Kicukiro,Niboye,Low,0.21283578833156402,density_heavy,0.21322275142355485,Medium,True
RWA.5.1.8_1,Gasabo,Kimihurura,Low,0.19456826773112182,density_heavy,0.16657542969302416,Low,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,Low,0.18600842814680446,density_heavy,0.16714171202485606,Low,False
