sector_subunit_id,sector_subunit_index,sector_subunit_count_requested,sentinel__subunit_assignment_method,sentinel__subunit_matched_row_count,sector_id,sector_name,district,sector_name_key,district_key,sector_area_km2,sentinel__elevation__subunit_count,sentinel__elevation__subunit_mean,sentinel__elevation__subunit_median,sentinel__elevation__subunit_min,sentinel__elevation__subunit_max,sentinel__elevation__subunit_std,sentinel__latitude__subunit_count,sentinel__latitude__subunit_mean,sentinel__latitude__subunit_median,sentinel__latitude__subunit_min,sentinel__latitude__subunit_max,sentinel__latitude__subunit_std,sentinel__longitude__subunit_count,sentinel__longitude__subunit_mean,sentinel__longitude__subunit_median,sentinel__longitude__subunit_min,sentinel__longitude__subunit_max,sentinel__longitude__subunit_std,sentinel__mndwi__subunit_count,sentinel__mndwi__subunit_mean,sentinel__mndwi__subunit_median,sentinel__mndwi__subunit_min,sentinel__mndwi__subunit_max,sentinel__mndwi__subunit_std,sentinel__ndbi__subunit_count,sentinel__ndbi__subunit_mean,sentinel__ndbi__subunit_median,sentinel__ndbi__subunit_min,sentinel__ndbi__subunit_max,sentinel__ndbi__subunit_std,sentinel__ndvi__subunit_count,sentinel__ndvi__subunit_mean,sentinel__ndvi__subunit_median,sentinel__ndvi__subunit_min,sentinel__ndvi__subunit_max,sentinel__ndvi__subunit_std,sentinel__slope__subunit_count,sentinel__slope__subunit_mean,sentinel__slope__subunit_median,sentinel__slope__subunit_min,sentinel__slope__subunit_max,sentinel__slope__subunit_std
RWA.1.4.1_1__sentinel_subunit_01,1,10,spatial_coordinate_order,23,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,23.0,2228.6679227053137,2230.822222222222,2193.9744444444445,2281.94,27.62556747197497,23.0,-1.5652362683577696,-1.567111013416612,-1.572500904908981,-1.5536362842239493,0.004698432020329341,23.0,29.53373583866356,29.535259068904868,29.524479285536295,29.54064896056922,0.004208548763438115,23.0,-0.5599317706922262,-0.5699998257399037,-0.6089151017490897,-0.4470066740412753,0.04194543962991405,23.0,-0.07204938270073626,-0.0716793823981325,-0.1377249913090955,0.0105290882409585,0.04810233363586319,23.0,0.551276630253869,0.5536031803960856,0.3947753892557208,0.6463397249101114,0.0653014822704623,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_02,2,10,spatial_coordinate_order,22,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,22.0,2207.3843939393937,2206.7433333333333,2185.128888888889,2234.741111111111,14.643712410657704,22.0,-1.5624561068257206,-1.5630685944688227,-1.5698059590215725,-1.5536362841669378,0.005205922357059759,22.0,29.543956394151508,29.543343906463782,29.540648960593707,29.548733798194625,0.0026210166051531744,22.0,-0.5155616924815077,-0.5188331977206612,-0.6123151104670338,-0.4290132899766469,0.04617956770226576,22.0,-0.029853341018126024,-0.0268289848778132,-0.1236107962477134,0.1236135138798415,0.06321872572334063,22.0,0.4658460422339189,0.4813841224637153,0.2589237248272061,0.6223932966891624,0.08546221394624007,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_03,3,10,spatial_coordinate_order,23,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,23.0,2183.0759903381645,2183.09,2161.75,2211.0733333333333,15.157834686515756,23.0,-1.5600807197695148,-1.5590261758534103,-1.5751958510285475,-1.5455514463106543,0.007950573217320688,23.0,29.55224894493448,29.55142874401504,29.548733798215725,29.55412368990334,0.002061202395085864,23.0,-0.4703756621533461,-0.4618004476095952,-0.6563967428974712,-0.3428641330512789,0.07618221268473278,23.0,0.02735385845108113,0.0370326520547644,-0.1236530236559376,0.1649491458523134,0.08178207111273005,23.0,0.36664262870387826,0.3490882715836491,0.1258280904000951,0.6920198293979384,0.13748527812563419,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_04,4,10,spatial_coordinate_order,22,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,22.0,2178.920707070707,2175.320555555556,2160.6433333333334,2240.9011111111113,19.77857622948469,22.0,-1.5569437175667902,-1.556331229717275,-1.569805959057871,-1.542856500694928,0.008188202490399402,22.0,29.55804361115539,29.55816610868713,29.554123689935057,29.55951358164269,0.001605650301948748,22.0,-0.4774114237850103,-0.4862127553858266,-0.5747379723905419,-0.3493077537228201,0.05187975630247706,22.0,-0.07111295472232647,-0.06617123696520619,-0.2167083950204988,0.1175922847044188,0.09236752569083947,22.0,0.4616728882109771,0.4638880451960732,0.2522763973499853,0.6458585513835007,0.11652860557508662,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_05,5,10,spatial_coordinate_order,22,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,22.0,2202.543282828283,2169.8994444444443,2156.5244444444443,2326.213333333333,55.28652126482378,22.0,-1.5533912889649295,-1.5522888111685083,-1.5725009049264282,-1.5374666088838318,0.011247941265364238,22.0,29.563188507740758,29.562208527520994,29.562208527431533,29.56490347321936,0.001326899535125939,22.0,-0.5245529937007501,-0.5274271538065594,-0.5707645359411998,-0.450948603323843,0.0321530229728347,22.0,-0.15585392667127335,-0.19240537677998265,-0.270161785136168,0.0232144654274423,0.09114272576203053,22.0,0.5901622058912148,0.6127048686941223,0.3961835953904903,0.7000653322728357,0.09233772486585295,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_06,6,10,spatial_coordinate_order,23,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,23.0,2264.2995652173913,2245.2455555555557,2128.2966666666666,2465.862222222222,89.84497128236731,23.0,-1.5564484014346178,-1.5563312296485028,-1.5751958509474189,-1.534771662975029,0.01170415327444781,23.0,29.567012561372454,29.5675984191861,29.564903473223456,29.570293364919312,0.0013971538990585693,23.0,-0.5159576835760046,-0.5127531972289102,-0.5967974181278093,-0.4576321266327788,0.03504961115566084,23.0,-0.20251474144749854,-0.2022157773808164,-0.32783364327928,-0.0460038850444905,0.07035417887381394,23.0,0.6197528851001387,0.6009855298398868,0.518497192345795,0.7526448484078279,0.06710551177433416,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_07,7,10,spatial_coordinate_order,22,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,22.0,2310.187727272727,2310.712777777778,2124.5055555555555,2422.2277777777776,79.71044239978437,22.0,-1.557801200333014,-1.557678702771664,-1.5832806884074,-1.5347716630091457,0.014541944590176095,22.0,29.570783355143487,29.57029336499528,29.570293364931672,29.572988310864133,0.0010638865196791803,22.0,-0.5367512289973031,-0.5250101572067631,-0.729186220530295,-0.4607878275388039,0.06718518822863292,22.0,-0.2292081084983114,-0.22150420015781364,-0.4645095222888692,-0.0333569708108328,0.119054316126472,22.0,0.6237182490339176,0.6008372398093647,0.4092898934713285,0.8811937664090764,0.13303550773912126,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_08,8,10,spatial_coordinate_order,23,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,23.0,2261.8297584541065,2264.6222222222223,2094.25,2413.0177777777776,100.89583481571532,23.0,-1.56054940600212,-1.564416067442775,-1.5832806884293078,-1.5347716629575352,0.016449530242668646,23.0,29.57392568336185,29.57298831093729,29.57298831088068,29.57568325671551,0.0013123975014627898,23.0,-0.5349850123920795,-0.5296411793242612,-0.6664212856935651,-0.4795883236269615,0.04838884611668992,23.0,-0.1672921098485718,-0.14546289208797,-0.4765200972557565,-0.0447030339409184,0.11550932579146111,23.0,0.5717857942554033,0.5396814692610751,0.4439899437011732,0.8697082616665587,0.11531179584274957,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_09,9,10,spatial_coordinate_order,22,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,22.0,2181.2599494949495,2183.2033333333334,2011.651111111111,2403.13,90.75996043046787,22.0,-1.5596386634201636,-1.560373648693627,-1.5832806883972608,-1.5266868256852566,0.014063280435173972,22.0,29.577030729621626,29.577030729625285,29.57568325671858,29.578378202528484,0.0013791824646377025,22.0,-0.5237180988715255,-0.521817054516438,-0.6693523018816723,-0.4630990400714437,0.04231614970249277,22.0,-0.0974449664315478,-0.07823484367162814,-0.3781928335286061,0.0188423790601079,0.08489931941070902,22.0,0.5056059176247544,0.4793977830784952,0.3741899614724812,0.8172252467747838,0.0948866134956477,0.0,,,,,
RWA.1.4.1_1__sentinel_subunit_10,10,10,spatial_coordinate_order,22,RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,22.0,2139.749494949495,2112.0316666666668,1981.838888888889,2435.82,123.2034567739463,22.0,-1.5619661166681689,-1.568458486242584,-1.585975634296024,-1.5293817711652673,0.01870646114200272,22.0,29.580460660696282,29.581073148330265,29.57837820253733,29.58376809437803,0.001846966108984258,22.0,-0.5593272191821369,-0.5350729207780509,-0.704944091419066,-0.4820504258443381,0.06795230005762112,22.0,-0.18857327936159887,-0.1354010428019332,-0.4493926951148715,-0.0558879455646895,0.13093503640139673,22.0,0.6153059631503914,0.5754807893125493,0.4229411479190908,0.8950992073334344,0.13992150248439203,0.0,,,,,
