sector_id,sector_name,district,sector_name_key,district_key,sector_area_km2,sentinel__matched_row_count,sentinel__elevation__count,sentinel__elevation__mean,sentinel__elevation__median,sentinel__elevation__min,sentinel__elevation__max,sentinel__elevation__std,sentinel__latitude__count,sentinel__latitude__mean,sentinel__latitude__median,sentinel__latitude__min,sentinel__latitude__max,sentinel__latitude__std,sentinel__longitude__count,sentinel__longitude__mean,sentinel__longitude__median,sentinel__longitude__min,sentinel__longitude__max,sentinel__longitude__std,sentinel__mndwi__count,sentinel__mndwi__mean,sentinel__mndwi__median,sentinel__mndwi__min,sentinel__mndwi__max,sentinel__mndwi__std,sentinel__ndbi__count,sentinel__ndbi__mean,sentinel__ndbi__median,sentinel__ndbi__min,sentinel__ndbi__max,sentinel__ndbi__std,sentinel__ndvi__count,sentinel__ndvi__mean,sentinel__ndvi__median,sentinel__ndvi__min,sentinel__ndvi__max,sentinel__ndvi__std,sentinel__slope__count,sentinel__slope__mean,sentinel__slope__median,sentinel__slope__min,sentinel__slope__max,sentinel__slope__std
RWA.1.4.1_1,Busogo,Musanze,busogo,musanze,20.158313742220237,224,224,2216.125386904762,2200.2727777777777,1981.838888888889,2465.862222222222,85.79751203753575,224,-1.559471323040651,-1.5617211215020168,-1.585975634296024,-1.5266868256852566,0.012307378897122287,224,29.561943845262693,29.564903473221406,29.524479285536295,29.58376809437803,0.014524884799120398,224,-0.5218296938264073,-0.5226207307548667,-0.729186220530295,-0.3428641330512789,0.05901685523233806,224,-0.118386514843847,-0.10672358462399059,-0.4765200972557565,0.1649491458523134,0.12060136414461926,224,0.5370016983767834,0.5406542201124982,0.1258280904000951,0.8950992073334344,0.13340431814511017,0,,,,,
RWA.1.4.2_1,Cyuve,Musanze,cyuve,musanze,33.05434551212677,368,368,1913.067185990338,1905.9972222222223,1827.66,2028.941111111111,47.83704663527499,368,-1.4742891690470188,-1.472787908402063,-1.5024323128683683,-1.4485333958450612,0.01277186842056749,368,29.655975067373994,29.656531632221302,29.621497336144134,29.6915659283205,0.01755808324231057,368,-0.5306852350573779,-0.5383995904443,-0.6538646000333173,-0.3726757694811909,0.056727272772944974,368,0.043891989802970995,0.05046148405144435,-0.1567347932041278,0.1913264661224805,0.06357801119814246,368,0.39763011654572716,0.4036305151291496,0.1818243914428158,0.6223885871373013,0.08821141329296596,0,,,,,
RWA.1.4.3_1,Gacaca,Musanze,gacaca,musanze,34.36761296716713,380,380,1815.3614853801168,1818.2183333333332,1656.838888888889,1979.4688888888888,56.91995239698667,380,-1.5019429673947544,-1.5024323128201473,-1.5347716629948374,-1.4593131791716158,0.01777868499591747,380,29.697728844007433,29.696955820056097,29.66731141561781,29.73199011620111,0.014602721771933882,380,-0.40078174279412104,-0.49519263717703865,-0.6268613356979804,0.612599786082258,0.28779316717861775,380,-0.05468005821342712,-0.07730403404478339,-0.2779972355460831,0.9021663281363236,0.10848016548342578,380,0.3984814963391055,0.463610132715871,-0.91488399967597,0.6421805141364163,0.22378385777264673,0,,,,,
RWA.1.4.4_1,Gashaki,Musanze,gashaki,musanze,29.089799051309292,322,322,1820.7583574435832,1778.551111111111,1748.9177777777777,2214.681111111111,85.38154962499479,322,-1.533248432795504,-1.5320767173144465,-1.5832806884348696,-1.4835676920158665,0.02728533786028433,322,29.747021553257838,29.745464845407533,29.729295170326896,29.764329466431587,0.008044943202863291,322,-0.09788111211873117,-0.4415526286534447,-0.5751982042454777,0.7129492088953215,0.46722749728153773,322,-0.11176469901831375,-0.1250752365990346,-0.3438411827452931,0.6106135242820913,0.09866136264462962,322,0.22370751099749697,0.4294820814727228,-0.8291360463556726,0.6634588842205466,0.370987834223045,0,,,,,
RWA.1.4.5_1,Gataraga,Musanze,gataraga,musanze,48.324555352889604,408,408,2563.9119284084372,2459.1911111111112,2077.2066666666665,3494.089800995025,362.831341477243,408,-1.5366013199199529,-1.5347716629847117,-1.5671110134660016,-1.5105171500988426,0.013393662673205114,408,29.52556254806322,29.521784339651056,29.489444989318937,29.57837820250637,0.021295606924343926,408,-0.5471240552421575,-0.5471025708257049,-0.6680712047505679,-0.359513489468058,0.04323826155427155,408,-0.12194806657433098,-0.08691265168881135,-0.3600485998272837,0.1284526113289396,0.11300813884805339,408,0.6005538067652608,0.5455288876498503,0.3071491088286044,0.9034538964401712,0.15202320483492449,0,,,,,
RWA.1.4.6_1,Kimonyi,Musanze,kimonyi,musanze,21.438775270812865,236,236,1891.152514124294,1873.5911111111113,1731.3366666666666,2095.526666666666,92.82129507230843,236,-1.5241174915315931,-1.521296933865027,-1.5698059590492977,-1.4943474753862491,0.01846849670536982,236,29.592469571978953,29.59185293174338,29.57029336502656,29.61880239047677,0.01030434034723601,236,-0.5509123823810252,-0.5556760955623027,-0.6346066437378413,-0.3962453087528259,0.033206546782552235,236,-0.06720976316845384,-0.060253996292227205,-0.3109459682299167,0.1640569884280086,0.0966211698857424,236,0.539954626564506,0.5367276494573686,0.2741499148832985,0.7935936089412345,0.10636576512127575,0,,,,,
RWA.1.4.7_1,Kinigi,Musanze,kinigi,musanze,68.0723356361321,740,740,2537.3704696642862,2496.5222222222224,2209.8755555555554,3460.0822222222223,208.52263929108318,740,-1.4364826176314038,-1.4350586665468694,-1.4808727459762805,-1.3892445868786374,0.01961484386565117,740,29.55191674774704,29.55142874400054,29.492139935279763,29.610717552836135,0.03133953698810622,740,-0.5752501736947694,-0.576441315191087,-0.6915659980790878,-0.4293595847968701,0.04121821994945442,740,-0.13017487002450626,-0.1185822420132962,-0.3918048482726491,0.2514723259422292,0.1184718371872696,740,0.6412837874137968,0.5998683200347634,0.2987348717385782,0.9113474022191288,0.1525624498768254,0,,,,,
RWA.1.4.8_1,Muhoza,Musanze,muhoza,musanze,21.105175429732384,234,234,1789.0498528015194,1810.0844444444444,1642.5733333333333,1882.2866666666664,62.34953198801199,234,-1.5125556350763705,-1.5105171501896117,-1.534771662976366,-1.4943474753390993,0.009189372036556783,234,29.645394826130495,29.645751848845094,29.610717552749712,29.67539625322972,0.015990263140558226,234,-0.4870207337132801,-0.4888574883965656,-0.7081577753442854,-0.3581125593401817,0.05369162319956865,234,-0.033900729233027234,-0.03409317796433885,-0.2362433914775315,0.1703384312547566,0.08677490641299032,234,0.4382477262837489,0.44382649919797884,0.0912417723195271,0.7037234493573573,0.12293517225742259,0,,,,,
RWA.1.4.9_1,Muko,Musanze,muko,musanze,20.19111889919126,222,222,1709.946136136136,1713.9366666666665,1636.5666666666666,1885.9644444444448,46.06826409352944,222,-1.544883779700077,-1.545551446372115,-1.5671110135026507,-1.5212969338507876,0.010118333595307201,222,29.61976140260885,29.62149733609603,29.589157986000988,29.64575184890052,0.015413087232771183,222,-0.5479890874797586,-0.5481311390221835,-0.6358014927630766,-0.4180015552445139,0.03762462551535414,222,-0.03444265162820962,-0.0253122357964837,-0.3339203149943237,0.1613498824567078,0.08787982172893616,222,0.5257129793166402,0.5156470250876523,0.3245739741330816,0.7406278486264999,0.08270889444831121,0,,,,,
RWA.1.4.10_1,Musanze,Musanze,musanze,musanze,32.66200586847179,370,370,2117.5021471471473,2123.062777777778,1866.2755555555557,2485.71,154.75315829827156,370,-1.4778646037433047,-1.478177799939382,-1.5024323128729715,-1.4512283415818688,0.012086412570479101,370,29.581058581139533,29.58107314830619,29.52986917722999,29.626887227975143,0.024033179888379993,370,-0.5473505484796971,-0.5523515292333443,-0.6501994087640841,-0.4127825508011818,0.03857454480762704,370,-0.023039637048792947,-0.01755403930382625,-0.2381878643958965,0.1514115461202567,0.07124086887785472,370,0.48492633788064415,0.4900805947071321,0.208397733324772,0.6818753664883537,0.09352041160137287,0,,,,,
